Source  RA        Dec        Start_RA  End_RA  Start_Dec End_Dec  S      P_s  PA
#       hhmmss.ss ddmmss.s   deg       deg     deg       deg      mJy    mJy  deg
# S1
S0957+161 095728.32 +160653.7  146.25   150.5   15.867   16.367    628.2  51.62  14.6 
S1009+140 100955.50 +140154.1  151.0    154.25  13.783   14.283    994.6  14.56 -82.6
S1026+064 102631.96 +062732.7  155.25   158.25   6.217    6.717    851.5  12.48 -48.3
S1041+027 104139.01 +024233.0  158.75   161.75   2.467    2.967   2710.1  11.04  19.4 
S1054+032 105426.03 +031447.4  162.00   164.75   3.00     3.50     613.2   3.89  64.5
S1106-008 110631.77 -005251.5  165.25   168.5   -1.133   -0.633   1065.6  16.83  45.3
S1123+055 112309.10 +053020.3  169.25   172.0    5.25     5.75    1721.1  70.37  13.4
S1135-003 113513.04 -002119.4  172.50   174.75  -0.60    -0.10    1267.8   2.92  39.2
# S2
S1559+163 155954.25 +161838.4  237.0    241.5    16.067   16.567   987.1  16.75  19.1
S1616+130 161611.76 +130331.7  242.5    245.5    12.817   19.317   925.3  20.22  82.2
S1631+119 163145.29 +115603.3  246.25   249.125  11.683   12.183  1733.7  37.95 -54.3 
S1645+021 164542.47 +021145.2  250.125  252.375   1.95     2.45   1976.2  70.27  16.2
S1655+039 165527.96 +035608.5  252.625  255.5     3.683    4.183   612.4   5.77  12.1
S1710+006 171035.36 +003702.0  256.0    258.75    0.367    0.867  1344.1   1.14  87.2
S1722+047 172214.09 +044316.8  259.25   261.75    4.467    4.967   765.5  17.05 -18.6
S1733+080 173332.59 +080436.9  262.125  265.0     7.833    8.333   510.7   0.98  57.8
# S3
S2153+056 215324.74 +053618.7  326.25   329.25    5.35    5.85   1187.20 59.54  42.0
S2203-003 220358.31 -002148.1  329.75   331.875  -0.6133 -0.1133  603.13  1.45 -14.3
S2212+018 221237.97 +015251.7  332.125  335.5     1.6311  2.1311 2809.84  6.22 -50.0
S2232+031 223226.89 +031115.2  335.75   339.5     2.9375  3.4375  450.07  7.42  60.9
S2246+065 224611.17 +063327.7  339.875  342.375   6.3078  6.8078  364.60  0.38   8.9
S2254+024 225454.09 +022520.7  342.75   345.5     2.1725  2.6725  493.64 30.64 -20.5
S2312+093 231228.15 +091928.6  346.25   349.75    9.0747  9.5747 2488.80 27.64  31.1
S2326+117 232616.64 +114507.7  350.0    353.125  11.5022 12.0022  311.3  20.51 -19.0
S2340+135 234033.24 +133300.5  353.375  356.25   13.3    13.8    1829.08  1.69  32.8
# S4
S0340+075 034053.7 +073525.4    53.25    56.375  7.3403   7.8403  1014.0  3.87  -18.3
S0351+064 035154.6 +062755.3    56.5     60.0    6.217    6.716    874.7  4.17   83.2
S0409+014 040941.0 +012447.3    60.5     64.125  1.167    1.667    675.0  2.58  -23.1
S0423+005 042351.5 +003106.7    64.25    67.375  0.2686   0.7686  1689.8 31.10   71.7
S0435+035 043548.2 +033231.9    67.5     69.875  3.292    3.792    458.1  4.74   68.4
S0444+057 044439.1 +054613.3    70.0     72.125  5.5203   6.0203   792.0  0.16   38.7
S0456+142 045615.5 +141330.4    73.0     75.25  13.975   14.475    487.2  5.89  -78.9
S0506+167 050651.3 +164628.2    75.5     78.375 16.5244  17.0244   645.2  1.08   77.3
S0520+141 052049.1 +140947.9    78.625   82.5   13.9133  14.4133   555.9 13.45  -48.1
# N1
S0206+330 020656.65 +330127.7  31.1110  32.3610  32.7744  33.2744   808.0  0.38  81.7
S0217+280 021701.84 +280458.2  33.6327  34.8827  27.8328  28.3328  1023.5 11.3   88.6
S0226+343 022610.34 +342130.4  35.9181  37.1681  34.1084  34.6084  2894.4  7.39  62.8
S0238+274 023812.44 +272527.1  38.8018  40.3018  27.1742  27.6742   636.9  6.63  11.4
S0250+213 025056.59 +212120.0  41.9858  43.4858  21.1056  21.6056   819.4  0.9   77.9
S0311+307 031135.17 +304320.9  47.1465  48.6465  30.4725  30.9725   965.6  4.68  52.6
S0330+366 033034.79 +363941.2  51.8950  53.3950  36.4114  36.9114   579.1  0.70 -79.2
S0340+321 034008.54 +320901.3  54.4106  55.6606  31.9004  32.4004  1611.6 34.31 -71.1 
S0352+223 035233.43 +222020.1  57.3893  58.8893  22.0889  22.5889   576.6 18.09  35.2
# N2
S0508+292 050826.54 +291746.4  75.0     78.0     29.05    29.55    600.5   1.78  -43.4
S0517+238 051740.81 +235110.2  78.5     80.75    23.60    24.10    972.0   0.19   41.2
S0529+250 052910.17 +250051.6  81.0     83.5     24.767   25.267  1134.6   1.88  -27.6
S0541+307 054130.80 +304614.4  84.0     86.75    30.5167  31.0167  336.1   1.14  -38.1    
S0553+312 055321.59 +311751.0  87.0     90.25    31.05    31.66   1158.1  46.4    71.1
S0610+365 061057.16 +363431.6  90.75    94.5     36.325   36.825   424.8  15.35  -75.3
S0626+336 062610.99 +333924.3  94.75    97.875   33.4083  33.9083  306.5  17.13   42.3
S0637+304 063744.53 +302900.3  98.0    100.5625  30.233   30.733   719.2   6.66  -16.6
S0647+326 064754.05 +323618.7 100.8125 103.0     32.3541  32.8542  357.8  27.31   44.4 
# N3
S1055+286 105508.64 +283740.0 162.50   165.0    28.378    28.878   448.1   2.43   36.9
S1107+362 110726.87 +361611.5 165.5    168.75   36.0199   36.5199  609.2   6.72   47.4
S1126+337 112623.65 +334527.1 169.0    172.4375 33.5075   34.4517 1376.8   1.46  -56.9 
S1135+371 113505.88 +370840.9 172.75   176.25   36.8947   37.3947  638.7   NaN    NaN
S1156+314 115618.74 +312805.0 176.5    180.125  31.2180   31.7181 2978.3   3.68   81.9 
S1207+350 120731.81 +350305.2 180.5    183.25   34.8014   35.3014  490.3  18.81  -61.3 
S1224+213 122454.62 +212247.2 184.5    187.125  21.1297   21.6198 2094.4  44.55  -77.2
S1234+245 123425.67 +243144.1 187.25   189.375  24.2789   24.7789  530.0   8.71   11.1
S1243+314 124341.17 +312417.7 190.0    192.0    31.1549   31.6549  498.4  29.65  -67.6 
# N4
S1644+256 164459.06 +253629.8 232.5    253.125  25.3583  25.8583   725.8   0.52  -40.1     
S1700+285 170040.23 +283200.7 253.25   257.0    28.2836  28.7836   552.1  51.83  -50.9 
S1719+227 171908.94 +224506.3 257.25   261.25   22.5017  23.0017  1574.9   7.85  -25.1
S1736+320 173631.92 +320410.1 262.25   265.625  31.8194  32.3194   491.8   2.21   20.6
S1749+344 174952.04 +342610.1 265.75   270.0    34.1861  34.6861   405.5   2.53    0.3
S1811+372 181132.09 +371333.5 270.125  273.875  36.9758  37.4758   816.5   4.24   45.0
S1820+356 182042.18 +354038.9 274.0    276.1667 35.4275  35.9275  1116.9  37.72  -61.2
S1829+334 182939.52 +332736.8 276.25   278.4167 33.2103  33.7103   361.5  NaN     NaN
S1837+326 183746.98 +323719.8 278.50   281.0    32.3722  32.8722   560.3   6.52   27.9
