source,      a0,       a1,        a2,          rms,  good, comments
# S1
S0957+161,   2.5161,   -0.8672,       NaN,      5.8, y,  
S1009+140,   2.7624,   -0.8407,   -2.7225,      4.0, y,  
S1026+064,   3.3997,   -1.0943,       NaN,     12.0, y,         3C243
S1041+027,   3.5499,   -0.9364,   -3.7548,      6.9, y,  
S1054+032,   3.6115,   -1.1649,   -4.5682,      7.2, y,  
S1106-008,   1.6051,   -0.5415,   +2.5467,      8.2, y,   Probably has a flat spectrum core at high freq.
S1123+055,   3.6958,   -1.0723,   -2.3949,      7.9, y,         3C257
S1135-003,   5.6823,   -1.5243,  -17.2622,      8.4, y,   Spectrum peaks at ~250 MHz
# S2
S1559+163,   2.5889,   -0.7752,   -3.4308,      7.0, y,  
S1616+130,   3.1486,   -1.0054,   -1.2082,      7.8, y,  
S1631+119,   2.7241,   -0.7510,   -3.0049,      8.6, n,   Possibly slightly variable at 5 GHz and above.
S1645+021,   3.1224,   -0.8769,   -1.3551,      6.5, y,  
S1655+039,   1.8263,   -0.6579,       NaN,      7.5, y,  
S1710+006,   2.4145,   -0.6972,   -2.3509,      8.0, y,  
S1722+047,   3.7356,   -1.1673,   -3.8765,     11.0, y,  
S1733+080,   2.6407,   -0.8520,   -6.7947,     10.3, y,  
# S3
S2153+056,   3.8989,   -1.1461,   -4.7123,     13.0, y,    4C+05.81; 5.5% poln at 1400 MHz
S2203-003,   3.7993,   -1.1751,   -7.3466,      6.6, y,    4C-00.79
S2212+018,   5.6997,   -1.3994,  -19.2871,      6.8, y,    4C+01.69
S2232+031,   3.7569,   -1.1890,   -7.9233,      5.0, y,  
S2246+065,  16.4393,   -3.9745,  -102.391,      5.1, n,    GPS Source; Spectrum not well constrained
S2254+024,   2.6379,   -0.8906,   -3.1880,      6.8, y,    4C+02.56
S2312+093,   3.6709,   -1.0030,   -2.8713,      8.9, y,    3C456
S2326+117,   3.2560,   -1.1243,   -5.0654,      3.5, y,  
S2340+135,   6.9435,   -1.8981,  -16.5628,      0.4, y,  
# S4
S0340+075,   1.6429,   -0.5227,       NaN,     13.6, y,    4C+07.13
S0351+064,   5.0642,   -1.4885,   -9.4408,     10.0, y,    4C+06.18
S0409+014,   2.4063,   -0.8219,       NaN,      7.8, y,    4C+01.08
S0423+005,   2.6269,   -0.7532,   -1.0588,     10.5, y,    4C+00.15
S0435+035,   3.8647,   -1.2605,   -4.9167,      9.2, y,    4C+03.09
S0444+057,   3.8738,   -1.0895,  -12.3426,      9.8, n,    Possibly somewhat variable?
S0456+142,   3.3755,   -1.1184,   -3.2712,      8.8, y,  
S0506+167,   3.2372,   -1.0120,   -5.1502,      3.8, y,  
S0520+141,   3.0474,   -1.0119,   -3.2093,      8.6, y,  
# N1
S0206+330,   4.0106,   -1.1886,   -8.1008,      7.1, y,  
S0217+280,   2.6837,   -0.8581,       NaN,     14.5, y,  
S0226+343,   2.0687,   -0.4814,   -3.2599,     11.5, n,   Possibly somewhat variable?
S0238+274,   4.5424,   -1.4494,   -4.5702,     13.3, y,  
S0250+213,   4.6069,   -1.3251,  -12.1625,      6.0, y,  
S0311+307,   5.2620,   -1.5148,  -11.0484,      6.5, y,  
S0330+366,   2.7071,   -0.8118,   -8.9669,      3.2, y,  
S0340+321,   3.2926,   -0.9759,   -1.2455,     10.2, y,  
S0352+223,   2.4266,   -0.8420,       NaN,     10.1, y,  
# N2
S0508+292,   2.1610,   -0.7552,       NaN,      3.9, y,    4C+29.15
S0517+238,   2.7887,   -0.8560,   -2.7039,     10.1, y,    4C+23.14
S0529+250,   4.3727,   -1.1692,  -14.1080,      7.0, y,  
S0541+307,   3.7002,   -1.2268,   -6.9658,     10.6, y,  
S0553+312,   3.1599,   -0.9432,   -2.6119,     10.8, y,    4C+31.21 Size=30.5"x<14"
S0610+365,   4.6231,   -1.5115,   -6.3900,      8.0, y,    4C+36.12
S0626+336,   1.9244,   -0.7132,   -4.6811,     10.7, y,  
S0637+304,   2.6049,   -0.8784,       NaN,     11.4, y,    4C+30.11 Size=20.2"x<17.7"
S0647+326,   3.3123,   -1.1456,   -3.8127,      9.7, y,    4C+32.22 Size=25.3"x14.3"
# N3
S1055+286,   2.4556,   -0.8639,   -2.3481,      4.3, y,    4C+29.20 Size=18.8"x<18"
S1107+362,   2.4369,   -0.8361,       NaN,      6.6, y,    4C+36.18 Size=20.6"x<16.7"
S1126+337,   6.4248,   -1.7318,  -18.6604,      6.9, y,    4C+33.26 GPS source
S1135+371,   5.5082,   -1.5674,  -17.1814,     10.9, y,  
S1156+314,   4.8630,   -1.2387,  -10.9438,      7.4, y,    4C+31.38
S1207+350,   4.7162,   -1.5033,   -7.3321,      7.5, y,    4C+35.27 Size=18.5"x<17.7"
S1224+213,  -0.0206,   -0.0099,   +7.3936,     28.4, n,    4C+21.35 Size=14.7"x<18.8" Flat-spectrum highly variable centimetric/mm component. DO NOT USE!
S1234+245,   2.9945,   -0.9797,   -4.0867,      7.5, y,    4C+24.37
S1243+314,   2.9190,   -0.9552,   -4.4672,      7.8, y,  
# N4
S1644+256,   3.7308,   -1.0192,  -15.5474,     20.4, n,   Probably variable
S1700+285,   3.7607,   -1.1868,   -6.4084,      5.4, y,  
S1719+227,   3.2771,   -0.9004,   -5.4580,     10.1, y,  
S1736+320,   2.6323,   -0.8855,   -3.5576,      4.9, y,  
S1749+344,   4.4971,   -1.4317,   -9.2719,      9.1, y,  
S1811+372,   4.7480,   -1.4329,   -7.8704,      9.5, y,  
S1820+356,   1.8947,   -0.5864,      NaN ,      8.6, y,  
S1829+334,   3.9793,   -1.3504,   -4.8362,      9.4, y,  
S1837+326,   4.0033,   -1.2777,   -5.4516,      4.4, y,  
